id,group,quantity,unit,item,candidate_or_reference,specification,disposition,status,required_evidence,source,measured_mass_kg,measured_com_m,measured_inertia_kg_m2,hardware_released
BASE-BASE-HARNESS,microduck_electronics,1,set,Leg and onboard wiring set,Existing keyed cables/connectors,Retain known pinout; inspect insulation/flex/strain relief,REUSE_OR_ASSEMBLY_INCLUDED,CANDIDATE_UNQUALIFIED,Installed inventory and electrical/mechanical qualification,microduck/docs/project/media-bringup.md; local physical inventory required,,,,False
BASE-BASE-FASTENERS,microduck_electronics,1,set,Base screws/spacers/retainers set,Reuse installed fasteners,Exact thread/length/count must be measured; meshes do not define screw procurement,REUSE_OR_ASSEMBLY_INCLUDED,CANDIDATE_UNQUALIFIED,Installed inventory and electrical/mechanical qualification,microduck/docs/project/media-bringup.md; local physical inventory required,,,,False
SHELL-shoulder_saddle,appearance,1,each,shoulder_saddle cover envelope,Custom WingPod cream shell; material/process unselected,"body=arm_mount; local center=(0, 0, -0.008) m; XYZ envelope=[50.0, 50.0, 8.0] mm; fillet=3 mm",COSMETIC_ENVELOPE_NOT_ADDITIVE_SOLID,RENDER_ONLY,Wall thickness; clips; cable exits; clearances; mass/inertia; cooling; mount strength,microduck_arm_design/wingpod.py#PODS,,,,False
SHELL-root,appearance,1,each,root cover envelope,Custom WingPod cream shell; material/process unselected,"body=arm_mount; local center=(0, 0, -0.025) m; XYZ envelope=[26.0, 32.0, 40.0] mm; fillet=6 mm",COSMETIC_ENVELOPE_NOT_ADDITIVE_SOLID,RENDER_ONLY,Wall thickness; clips; cable exits; clearances; mass/inertia; cooling; mount strength,microduck_arm_design/wingpod.py#PODS,,,,False
SHELL-shoulder,appearance,1,each,shoulder cover envelope,Custom WingPod cream shell; material/process unselected,"body=arm_yaw; local center=(0, 0, 0.018) m; XYZ envelope=[26.0, 32.0, 40.0] mm; fillet=6 mm",COSMETIC_ENVELOPE_NOT_ADDITIVE_SOLID,RENDER_ONLY,Wall thickness; clips; cable exits; clearances; mass/inertia; cooling; mount strength,microduck_arm_design/wingpod.py#PODS,,,,False
SHELL-upper_knuckle,appearance,1,each,upper_knuckle cover envelope,Custom WingPod cream shell; material/process unselected,"body=arm_upper; local center=(0.045, 0, 0.02) m; XYZ envelope=[26.0, 32.0, 40.0] mm; fillet=6 mm",COSMETIC_ENVELOPE_NOT_ADDITIVE_SOLID,RENDER_ONLY,Wall thickness; clips; cable exits; clearances; mass/inertia; cooling; mount strength,microduck_arm_design/wingpod.py#PODS,,,,False
SHELL-forearm_knuckle,appearance,1,each,forearm_knuckle cover envelope,Custom WingPod cream shell; material/process unselected,"body=arm_forearm; local center=(0.025, 0, 0.02) m; XYZ envelope=[26.0, 32.0, 40.0] mm; fillet=6 mm",COSMETIC_ENVELOPE_NOT_ADDITIVE_SOLID,RENDER_ONLY,Wall thickness; clips; cable exits; clearances; mass/inertia; cooling; mount strength,microduck_arm_design/wingpod.py#PODS,,,,False
SHELL-palm,appearance,1,each,palm cover envelope,Custom WingPod cream shell; material/process unselected,"body=arm_hand; local center=(0.007, 0, 0.022) m; XYZ envelope=[26.0, 32.0, 40.0] mm; fillet=6 mm",COSMETIC_ENVELOPE_NOT_ADDITIVE_SOLID,RENDER_ONLY,Wall thickness; clips; cable exits; clearances; mass/inertia; cooling; mount strength,microduck_arm_design/wingpod.py#PODS,,,,False
SHELL-backpack,appearance,1,each,backpack cover envelope,Custom WingPod cream shell; material/process unselected,"body=assumed_dedicated_arm_pack; local center=(0, 0, 0) m; XYZ envelope=[36.0, 30.0, 22.0] mm; fillet=3 mm",COSMETIC_ENVELOPE_NOT_ADDITIVE_SOLID,RENDER_ONLY,Wall thickness; clips; cable exits; clearances; mass/inertia; cooling; mount strength,microduck_arm_design/wingpod.py#PODS,,,,False
SHELL-electronics,appearance,1,each,electronics cover envelope,Custom WingPod cream shell; material/process unselected,"body=assumed_relocated_electronics; local center=(0, 0, 0) m; XYZ envelope=[42.0, 26.0, 10.0] mm; fillet=2 mm",COSMETIC_ENVELOPE_NOT_ADDITIVE_SOLID,RENDER_ONLY,Wall thickness; clips; cable exits; clearances; mass/inertia; cooling; mount strength,microduck_arm_design/wingpod.py#PODS,,,,False
SHELL-power,appearance,1,each,power cover envelope,Custom WingPod cream shell; material/process unselected,"body=assumed_power_and_communications; local center=(0, 0, 0) m; XYZ envelope=[30.0, 22.0, 10.0] mm; fillet=2 mm",COSMETIC_ENVELOPE_NOT_ADDITIVE_SOLID,RENDER_ONLY,Wall thickness; clips; cable exits; clearances; mass/inertia; cooling; mount strength,microduck_arm_design/wingpod.py#PODS,,,,False
SHELL-face,appearance,1,each,face cover envelope,Custom WingPod cream shell; material/process unselected,"body=assumed_sensor_shell; local center=(0, 0, 0) m; XYZ envelope=[38.0, 34.0, 26.0] mm; fillet=6 mm",COSMETIC_ENVELOPE_NOT_ADDITIVE_SOLID,RENDER_ONLY,Wall thickness; clips; cable exits; clearances; mass/inertia; cooling; mount strength,microduck_arm_design/wingpod.py#PODS,,,,False
CAM-SENSORS,camera_eyes,2,each,Active left/right RGB camera modules incl. lens,Exact miniature sensor modules UNSELECTED,13 mm optical center spacing design target; matched optics preferred; voltage/interface not selected,DUAL_EYE_TARGET_BLOCKED,CANDIDATE_UNQUALIFIED,Actual module drawings; PCB/lens fit; usable FOV; bandwidth; synchronization if stereo requested,microduck_arm_design/wingpod_camera.py; microduck/docs/project/media-bringup.md,,,,False
CAM-BEZEL,camera_eyes,1,each,Cream twin-eye housing / peach cheeks / honey beak,Custom camera chest cover; soft appearance revision,28 mm wide x 17 mm high x 5 mm deep outer envelope; not usable internal volume; colors are render-only,RENDER_ONLY,CANDIDATE_UNQUALIFIED,PCB/lens/connector stack and cable bend envelope; mounting and removable access; qualify cosmetic finish,microduck_arm_design/wingpod_camera.py; microduck/docs/project/media-bringup.md,,,,False
CAM-MOUNT,camera_eyes,1,each,Camera internal carrier and fixed chest mount,Custom removable nonstructural carrier,Fixed to arm_mount chest; must not load moving gripper or obstruct shoulder,NEW_CANDIDATE,CANDIDATE_UNQUALIFIED,Actual fastener datums; no chassis-shell bending load; retention; mass and clearances,microduck_arm_design/wingpod_camera.py; microduck/docs/project/media-bringup.md,,,,False
CAM-LENS-TRIM,camera_eyes,2,each,Sage-gray lens trim / light baffle,Custom cosmetic ring; no extra camera lens,8 mm visual ring outer diameter; avoid vignette/reflections,COSMETIC,CANDIDATE_UNQUALIFIED,Optical aperture; lens movement; glare test; no unsupported IP rating,microduck_arm_design/wingpod_camera.py; microduck/docs/project/media-bringup.md,,,,False
CAM-LED,camera_eyes,1,each,Amber status LED,Low-current LED; exact MPN TBD,Displayed amber bar is a render cue; real drive current must be chosen,NEW_CANDIDATE,CANDIDATE_UNQUALIFIED,LED voltage/current/brightness; privacy semantics; avoid optical contamination,microduck_arm_design/wingpod_camera.py; microduck/docs/project/media-bringup.md,,,,False
CAM-LED-DRIVER,camera_eyes,1,each,LED current-limit/driver circuit,Resistor/driver to match chosen logic rail,Do not directly drive unknown load from GPIO; value and topology TBD,NEW_CANDIDATE,CANDIDATE_UNQUALIFIED,Schematic; GPIO limits; resistor power; startup and fault behavior,microduck_arm_design/wingpod_camera.py; microduck/docs/project/media-bringup.md,,,,False
CAM-LIGHTPIPE,camera_eyes,1,each,Amber indicator light pipe,Custom diffuser,Matches rendered indicator; thickness and material TBD,NEW_CANDIDATE,CANDIDATE_UNQUALIFIED,Optical cross-talk; retention; fit,microduck_arm_design/wingpod_camera.py; microduck/docs/project/media-bringup.md,,,,False
CAM-DATA-CABLES,camera_eyes,2,each,Camera data cable assemblies,Matched FFC or USB assemblies; not interchangeable,One per selected module; pitch/pin count/contact side/length TBD,DUAL_EYE_TARGET_BLOCKED,CANDIDATE_UNQUALIFIED,Vendor pinout; CSI lane routing or USB signal integrity; strain relief; minimum bend radius,microduck_arm_design/wingpod_camera.py; microduck/docs/project/media-bringup.md,,,,False
CAM-BRIDGE,camera_eyes,1,function,Dual-camera host interface function,UNSELECTED: synchronized bridge/USB stereo assembly if required,Do not split one CSI input with a passive Y cable; assembly may include this function,ARCHITECTURE_NOT_SELECTED,CANDIDATE_UNQUALIFIED,Radxa driver support; simultaneous capture; timestamps; encoder/load test; calibration,microduck_arm_design/wingpod_camera.py; microduck/docs/project/media-bringup.md,,,,False
CAM-LOGIC-POWER,camera_eyes,1,function,Camera protected logic-power branch,Existing logic regulator if qualified; otherwise sized replacement TBD,Camera supply by selected interface; do not connect to motor rail or raw battery,CONDITIONAL_FUNCTION,CANDIDATE_UNQUALIFIED,Voltage/current/transients; branch fault containment; no compute brownout; regulator heating,microduck_arm_design/wingpod_camera.py; microduck/docs/project/media-bringup.md,,,,False
CAM-HARDWARE,camera_eyes,1,set,Camera screws/inserts/grommets/strain-relief set,Custom matched hardware; size TBD,No drilling or screw lengths released before real-board drawing,NEW_CANDIDATE,CANDIDATE_UNQUALIFIED,Count/threads/length; tool access; no PCB contact or pierced cables,microduck_arm_design/wingpod_camera.py; microduck/docs/project/media-bringup.md,,,,False
CAM-BENCH-IMX219,camera_eyes,1,each,MicroDuck-compatible single-camera bench reference,Raspberry Pi Camera Module 2 / Sony IMX219,Reference only; not claimed to fit chest or provide two live eyes,BENCH_ALTERNATIVE_NOT_IN_DUAL_TARGET,CANDIDATE_UNQUALIFIED,Validate board/FFC/OS overlay; dimensional fit; do not order two as a proven stereo system,microduck_arm_design/wingpod_camera.py; microduck/docs/project/media-bringup.md,,,,False
TEST-TELEMETRY,support_and_validation,1,set,Voltage/current/temperature instrumentation,Calibrated measurement equipment; onboard sensor selection TBD,Branch current + pack/logic/arm voltage + regulator temperature,BENCH_OR_FIXTURE,CANDIDATE_UNQUALIFIED,Specify equipment/ratings; review test procedure; record measured evidence,hardware/microduck-arm-v1c/experiments/tennis-return.json,,,,False
TEST-POWER-PROTECTION,support_and_validation,1,set,Transient/reverse-current protection and local decoupling,TVS/blocking/clamp/capacitor topology TBD,Coordinate with measured motor regeneration and converter response; no guessed fuse or capacitor value,ELECTRICAL_FUNCTION_UNSELECTED,CANDIDATE_UNQUALIFIED,Specify equipment/ratings; review test procedure; record measured evidence,hardware/microduck-arm-v1c/experiments/tennis-return.json,,,,False
TEST-FIXTURE,support_and_validation,1,set,Nonconductive bench fixture and fall restraint,Custom support allowing safe leg/arm tests,Provide catch restraint without mistaking tether-assisted stability for free-base success,BENCH_OR_FIXTURE,CANDIDATE_UNQUALIFIED,Specify equipment/ratings; review test procedure; record measured evidence,hardware/microduck-arm-v1c/experiments/tennis-return.json,,,,False
TEST-CAM-CALIBRATION,support_and_validation,1,set,Camera calibration target,Printed/measured checkerboard or Charuco target,Intrinsic/extrinsic tests; verified square size; timing and reprojection logs,BENCH_OR_FIXTURE,CANDIDATE_UNQUALIFIED,Specify equipment/ratings; review test procedure; record measured evidence,hardware/microduck-arm-v1c/experiments/tennis-return.json,,,,False
TEST-BALL,support_and_validation,1,set,Yellow tennis ball,Measured classroom test object,Simulation nominal diameter 67 mm / mass 58 g; this is not a qualified real payload rating,BENCH_OR_FIXTURE,CANDIDATE_UNQUALIFIED,Specify equipment/ratings; review test procedure; record measured evidence,hardware/microduck-arm-v1c/experiments/tennis-return.json,,,,False
TEST-BIN,support_and_validation,1,set,Low classroom bin,Custom anchored fixture; not a household garbage can,180 x 180 mm inner plan; 100 mm walls; 4 mm wall/bottom in simulation,BENCH_OR_FIXTURE,CANDIDATE_UNQUALIFIED,Specify equipment/ratings; review test procedure; record measured evidence,hardware/microduck-arm-v1c/experiments/tennis-return.json,,,,False
